date,tmax,tmin,precip,cloud,wind,hum,gust
2020-01-01,41.2,20.0,0.0,28,16.1,69,30.4
2020-01-02,48.9,37.1,0.0,52,14.7,69,27.7
2020-01-03,38.9,31.3,0.0,80,5.8,84,12.5
2020-01-04,34.5,27.1,0.071,88,11.0,71,22.6
2020-01-05,45.1,22.3,0.016,47,17.6,73,35.8
2020-01-06,40.8,25.3,0.0,55,12.2,61,23.5
2020-01-07,40.3,27.7,0.008,62,13.4,64,27.1
2020-01-08,28.3,15.0,0.0,18,13.8,51,26.8
2020-01-09,49.7,22.6,0.0,90,19.2,62,37.1
2020-01-10,45.6,35.2,0.402,97,15.8,96,31.3
2020-01-11,36.0,29.1,1.193,100,22.1,87,41.4
2020-01-12,30.8,20.9,0.02,97,10.1,83,19.7
2020-01-13,32.8,25.9,0.004,92,8.1,83,15.7
2020-01-14,43.0,27.1,0.0,63,14.2,87,28.9
2020-01-15,35.2,23.9,0.035,66,12.6,93,23.9
2020-01-16,30.2,14.3,0.0,44,14.0,55,27.3
2020-01-17,28.5,13.8,0.232,98,16.4,62,31.8
2020-01-18,35.6,7.8,0.378,99,21.2,84,41.2
2020-01-19,19.0,0.7,0.0,57,16.8,69,32.9
2020-01-20,28.8,13.2,0.0,59,8.2,76,15.2
2020-01-21,29.6,8.8,0.0,21,10.2,75,19.9
2020-01-22,34.1,21.3,0.0,99,12.0,67,23.0
2020-01-23,33.7,28.4,0.22,100,8.8,86,17.0
2020-01-24,38.2,32.5,0.429,100,7.9,96,14.5
2020-01-25,34.5,32.4,0.287,100,10.5,94,20.4
2020-01-26,34.7,28.0,0.008,99,10.5,88,22.1
2020-01-27,36.3,27.3,0.0,95,5.7,86,11.4
2020-01-28,33.8,28.6,0.0,97,5.8,78,11.6
2020-01-29,33.2,28.7,0.004,100,6.0,76,13.4
2020-01-30,35.2,27.9,0.0,97,5.3,75,12.3
2020-01-31,39.3,28.8,0.035,99,6.8,78,15.4
2020-02-01,38.6,31.3,0.047,99,14.8,86,29.3
2020-02-02,52.7,33.7,0.0,69,18.2,67,36.0
2020-02-03,44.2,28.8,0.0,69,11.8,85,22.1
2020-02-04,36.0,28.0,0.0,98,17.3,71,34.9
2020-02-05,30.2,26.6,0.126,99,10.7,64,22.6
2020-02-06,30.9,25.0,0.134,94,11.4,73,24.2
2020-02-07,36.5,19.7,0.02,75,9.0,61,18.8
2020-02-08,35.6,23.5,0.0,73,9.1,69,18.3
