ts,city,target,ndfd_max
2026-09-06T02:56:22+00:00,NYC,2026-09-05,
2026-09-06T02:56:26+00:00,NYC,2026-09-06,75.0
2026-09-06T02:56:29+00:00,CHI,2026-09-05,
2026-09-06T02:56:32+00:00,CHI,2026-09-06,78.0
2026-09-06T02:56:51+00:00,NYC,2026-09-05,
2026-09-06T02:56:54+00:00,NYC,2026-09-06,75.0
2026-09-06T02:56:57+00:00,CHI,2026-09-05,
2026-09-06T02:57:00+00:00,CHI,2026-09-06,78.0
2026-09-06T02:57:22+00:00,NYC,2026-09-05,
2026-09-06T02:57:27+00:00,NYC,2026-09-06,75.0
2026-09-06T02:57:31+00:00,CHI,2026-09-05,
2026-09-06T02:57:35+00:00,CHI,2026-09-06,78.0
2026-09-06T02:58:23+00:00,NYC,2026-09-05,
2026-09-06T02:58:28+00:00,NYC,2026-09-06,75.0
2026-09-06T02:58:32+00:00,CHI,2026-09-05,
2026-09-06T02:58:36+00:00,CHI,2026-09-06,78.0
2026-09-06T02:59:23+00:00,NYC,2026-09-05,
2026-09-06T02:59:28+00:00,NYC,2026-09-06,75.0
2026-09-06T02:59:33+00:00,CHI,2026-09-05,
2026-09-06T02:59:36+00:00,CHI,2026-09-06,78.0
2026-09-06T03:00:23+00:00,NYC,2026-09-05,
2026-09-06T03:00:28+00:00,NYC,2026-09-06,75.0
2026-09-06T03:00:33+00:00,CHI,2026-09-05,
2026-09-06T03:00:36+00:00,CHI,2026-09-06,78.0
2026-09-06T03:01:23+00:00,NYC,2026-09-05,
2026-09-06T03:01:28+00:00,NYC,2026-09-06,75.0
2026-09-06T03:01:32+00:00,CHI,2026-09-05,
2026-09-06T03:01:35+00:00,CHI,2026-09-06,78.0
2026-09-06T03:02:23+00:00,NYC,2026-09-05,
2026-09-06T03:02:27+00:00,NYC,2026-09-06,75.0
2026-09-06T03:02:32+00:00,CHI,2026-09-05,
2026-09-06T03:02:35+00:00,CHI,2026-09-06,78.0
2026-09-06T03:03:23+00:00,NYC,2026-09-05,
2026-09-06T03:03:28+00:00,NYC,2026-09-06,75.0
2026-09-06T03:03:32+00:00,CHI,2026-09-05,
2026-09-06T03:03:37+00:00,NYC,2026-09-05,
2026-09-06T03:03:37+00:00,CHI,2026-09-06,78.0
2026-09-06T03:03:42+00:00,NYC,2026-09-06,75.0
2026-09-06T03:03:46+00:00,CHI,2026-09-05,
2026-09-06T03:03:50+00:00,CHI,2026-09-06,78.0
2026-09-06T03:04:48+00:00,NYC,2026-09-05,
2026-09-06T03:04:53+00:00,NYC,2026-09-06,75.0
2026-09-06T03:04:59+00:00,CHI,2026-09-05,
2026-09-06T03:05:03+00:00,CHI,2026-09-06,78.0
2026-09-06T03:05:08+00:00,NYC,2026-09-05,
2026-09-06T03:05:13+00:00,NYC,2026-09-06,75.0
2026-09-06T03:05:17+00:00,CHI,2026-09-05,
2026-09-06T03:05:21+00:00,CHI,2026-09-06,78.0
2026-09-06T03:20:27+00:00,NYC,2026-09-05,
2026-09-06T03:20:32+00:00,NYC,2026-09-06,75.0
2026-09-06T03:20:38+00:00,CHI,2026-09-05,
2026-09-06T03:20:41+00:00,CHI,2026-09-06,78.0
2026-09-06T03:21:26+00:00,NYC,2026-09-05,
2026-09-06T03:21:31+00:00,NYC,2026-09-06,75.0
2026-09-06T03:21:35+00:00,CHI,2026-09-05,
2026-09-06T03:21:39+00:00,CHI,2026-09-06,78.0
2026-09-06T03:22:26+00:00,NYC,2026-09-05,
2026-09-06T03:22:31+00:00,NYC,2026-09-06,75.0
2026-09-06T03:22:36+00:00,CHI,2026-09-05,
2026-09-06T03:22:39+00:00,CHI,2026-09-06,78.0
2026-09-06T03:23:26+00:00,NYC,2026-09-05,
2026-09-06T03:23:31+00:00,NYC,2026-09-06,75.0
2026-09-06T03:23:36+00:00,CHI,2026-09-05,
2026-09-06T03:23:40+00:00,CHI,2026-09-06,78.0
2026-09-06T03:24:26+00:00,NYC,2026-09-05,
2026-09-06T03:24:31+00:00,NYC,2026-09-06,75.0
2026-09-06T03:24:36+00:00,CHI,2026-09-05,
2026-09-06T03:24:39+00:00,CHI,2026-09-06,78.0
2026-09-06T03:25:26+00:00,NYC,2026-09-05,
2026-09-06T03:25:32+00:00,NYC,2026-09-06,75.0
2026-09-06T03:25:37+00:00,CHI,2026-09-05,
2026-09-06T03:25:41+00:00,CHI,2026-09-06,78.0
2026-09-06T06:40:19+00:00,NYC,2026-09-06,75.0
2026-09-06T06:40:38+00:00,CHI,2026-09-06,78.0
2026-09-06T12:40:03+00:00,NYC,2026-09-06,75.0
2026-09-06T12:40:09+00:00,CHI,2026-09-06,78.0
2026-09-06T15:21:37+00:00,NYC,2026-09-06,75.0
2026-09-06T15:21:43+00:00,NYC,2026-09-07,80.0
2026-09-06T15:22:09+00:00,CHI,2026-09-06,78.0
2026-09-06T15:22:13+00:00,CHI,2026-09-07,80.0
2026-09-06T15:22:20+00:00,NYC,2026-09-06,75.0
2026-09-06T15:22:25+00:00,NYC,2026-09-07,80.0
2026-09-06T15:22:29+00:00,CHI,2026-09-06,78.0
2026-09-06T15:22:33+00:00,CHI,2026-09-07,80.0
2026-09-06T15:23:20+00:00,NYC,2026-09-06,75.0
2026-09-06T15:23:25+00:00,NYC,2026-09-07,80.0
2026-09-06T15:23:29+00:00,CHI,2026-09-06,78.0
2026-09-06T15:23:33+00:00,CHI,2026-09-07,80.0
2026-09-06T15:24:20+00:00,NYC,2026-09-06,75.0
2026-09-06T15:24:25+00:00,NYC,2026-09-07,80.0
2026-09-06T15:24:29+00:00,CHI,2026-09-06,78.0
2026-09-06T15:24:33+00:00,CHI,2026-09-07,80.0
2026-09-06T15:33:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:33:22+00:00,NYC,2026-09-07,80.0
2026-09-06T15:33:28+00:00,CHI,2026-09-06,78.0
2026-09-06T15:33:31+00:00,CHI,2026-09-07,80.0
2026-09-06T15:34:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:34:22+00:00,NYC,2026-09-07,80.0
2026-09-06T15:34:26+00:00,CHI,2026-09-06,78.0
2026-09-06T15:34:29+00:00,CHI,2026-09-07,80.0
2026-09-06T15:35:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:35:21+00:00,NYC,2026-09-07,80.0
2026-09-06T15:35:26+00:00,CHI,2026-09-06,78.0
2026-09-06T15:35:30+00:00,CHI,2026-09-07,80.0
2026-09-06T15:36:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:36:22+00:00,NYC,2026-09-07,80.0
2026-09-06T15:36:26+00:00,CHI,2026-09-06,78.0
2026-09-06T15:36:30+00:00,CHI,2026-09-07,80.0
2026-09-06T15:37:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:37:22+00:00,NYC,2026-09-07,80.0
2026-09-06T15:37:26+00:00,CHI,2026-09-06,78.0
2026-09-06T15:37:30+00:00,CHI,2026-09-07,80.0
2026-09-06T15:38:18+00:00,NYC,2026-09-06,75.0
2026-09-06T15:38:23+00:00,NYC,2026-09-07,80.0
2026-09-06T15:38:27+00:00,CHI,2026-09-06,78.0
2026-09-06T15:38:31+00:00,CHI,2026-09-07,80.0
2026-09-06T15:39:34+00:00,NYC,2026-09-06,75.0
2026-09-06T15:39:38+00:00,NYC,2026-09-07,80.0
2026-09-06T15:40:01+00:00,CHI,2026-09-06,78.0
2026-09-06T15:40:03+00:00,CHI,2026-09-07,80.0
2026-09-06T15:40:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:40:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:40:23+00:00,CHI,2026-09-06,78.0
2026-09-06T15:40:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:41:32+00:00,NYC,2026-09-06,75.0
2026-09-06T15:41:35+00:00,NYC,2026-09-07,80.0
2026-09-06T15:41:43+00:00,CHI,2026-09-06,78.0
2026-09-06T15:41:46+00:00,CHI,2026-09-07,80.0
2026-09-06T15:42:50+00:00,NYC,2026-09-06,75.0
2026-09-06T15:43:04+00:00,NYC,2026-09-07,80.0
2026-09-06T15:43:12+00:00,CHI,2026-09-06,78.0
2026-09-06T15:43:14+00:00,CHI,2026-09-07,80.0
2026-09-06T15:43:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:43:21+00:00,NYC,2026-09-07,80.0
2026-09-06T15:43:25+00:00,CHI,2026-09-06,78.0
2026-09-06T15:43:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:44:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:44:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:44:25+00:00,CHI,2026-09-06,78.0
2026-09-06T15:44:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:45:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:45:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:45:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:45:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:46:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:46:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:46:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:46:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:47:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:47:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:47:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:47:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:48:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:48:21+00:00,NYC,2026-09-07,80.0
2026-09-06T15:48:25+00:00,CHI,2026-09-06,78.0
2026-09-06T15:48:28+00:00,CHI,2026-09-07,80.0
2026-09-06T15:49:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:49:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:49:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:49:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:50:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:50:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:50:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:50:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:51:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:51:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:51:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:51:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:52:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:52:21+00:00,NYC,2026-09-07,80.0
2026-09-06T15:52:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:52:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:53:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:53:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:53:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:53:27+00:00,CHI,2026-09-07,80.0
2026-09-06T16:11:21+00:00,NYC,2026-09-06,75.0
2026-09-06T16:11:27+00:00,NYC,2026-09-07,80.0
2026-09-06T16:11:33+00:00,CHI,2026-09-06,78.0
2026-09-06T16:11:36+00:00,CHI,2026-09-07,80.0
2026-09-06T16:12:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:12:23+00:00,NYC,2026-09-07,80.0
2026-09-06T16:12:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:12:31+00:00,CHI,2026-09-07,80.0
2026-09-06T16:13:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:13:24+00:00,NYC,2026-09-07,80.0
2026-09-06T16:13:29+00:00,CHI,2026-09-06,78.0
2026-09-06T16:13:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:14:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:14:23+00:00,NYC,2026-09-07,80.0
2026-09-06T16:14:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:14:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:15:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:15:24+00:00,NYC,2026-09-07,80.0
2026-09-06T16:15:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:15:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:16:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:16:24+00:00,NYC,2026-09-07,80.0
2026-09-06T16:16:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:16:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:17:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:17:23+00:00,NYC,2026-09-07,80.0
2026-09-06T16:17:29+00:00,CHI,2026-09-06,78.0
2026-09-06T16:17:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:18:55+00:00,NYC,2026-09-06,75.0
