date,tmax,tmin,precip,cloud,wind,hum,gust
2020-01-01,39.9,31.2,0.0,46,17.5,60,33.1
2020-01-02,47.7,28.2,0.0,45,10.3,69,20.6
2020-01-03,48.9,36.1,0.169,99,6.5,87,11.6
2020-01-04,49.4,42.5,0.236,100,14.6,97,25.7
2020-01-05,41.1,29.8,0.031,61,22.8,61,42.7
2020-01-06,45.5,31.0,0.051,51,14.8,66,29.1
2020-01-07,42.8,31.0,0.035,81,12.4,63,23.3
2020-01-08,40.9,29.2,0.004,32,20.1,64,41.8
2020-01-09,33.0,22.7,0.0,45,14.5,49,26.8
2020-01-10,51.9,29.9,0.0,77,14.5,78,26.2
2020-01-11,64.8,46.7,0.008,93,20.8,79,39.1
2020-01-12,65.2,44.1,0.102,58,28.0,71,62.2
2020-01-13,47.9,34.3,0.008,98,11.2,81,19.7
2020-01-14,44.0,34.1,0.024,100,8.9,91,17.7
2020-01-15,48.5,37.5,0.004,45,9.6,81,19.7
2020-01-16,47.4,34.3,0.114,49,22.8,69,47.4
2020-01-17,33.4,22.2,0.0,30,21.3,42,39.6
2020-01-18,36.2,20.6,0.327,100,13.8,57,24.8
2020-01-19,44.0,30.0,0.051,65,15.6,69,29.1
2020-01-20,30.3,19.0,0.0,11,16.2,45,30.4
2020-01-21,34.3,19.8,0.0,18,9.9,49,18.3
2020-01-22,37.2,21.9,0.0,6,6.5,65,11.0
2020-01-23,44.7,24.5,0.0,87,6.0,62,11.2
2020-01-24,49.5,26.8,0.0,55,7.5,69,13.6
2020-01-25,50.2,34.3,1.039,82,20.2,93,42.7
2020-01-26,45.9,33.9,0.0,33,13.9,75,26.6
2020-01-27,45.4,31.3,0.0,56,13.4,67,25.9
2020-01-28,41.8,31.3,0.0,71,13.3,63,25.7
2020-01-29,39.7,27.6,0.0,22,11.5,59,21.0
2020-01-30,34.5,21.7,0.0,51,9.9,67,17.9
2020-01-31,43.3,27.1,0.039,82,7.2,83,15.2
2020-02-01,41.6,31.2,0.02,86,3.8,94,9.6
2020-02-02,43.1,33.1,0.126,90,11.6,84,22.8
2020-02-03,53.9,33.5,0.02,43,10.8,77,21.7
2020-02-04,55.7,37.0,0.102,96,9.8,90,18.1
2020-02-05,49.3,38.0,0.035,100,11.9,70,21.7
2020-02-06,43.1,36.5,0.579,100,11.9,92,21.0
2020-02-07,56.2,33.0,0.409,91,27.2,80,51.5
2020-02-08,40.1,27.4,0.0,39,16.8,53,30.6
2020-02-09,43.0,27.9,0.0,72,8.1,81,16.6
2020-02-10,47.1,35.5,0.402,100,14.3,87,26.2
2020-02-11,46.0,41.3,0.37,99,11.5,96,20.1
2020-02-12,45.1,33.3,0.012,90,14.6,62,26.2
2020-02-13,43.5,35.6,0.74,100,12.4,91,22.4
2020-02-14,37.1,19.4,0.0,13,15.9,52,31.5
2020-02-15,29.1,15.3,0.0,37,12.1,52,23.7
2020-02-16,45.1,26.2,0.0,86,10.6,66,19.5
2020-02-17,49.2,29.9,0.0,57,8.5,67,16.1
2020-02-18,48.3,32.5,0.059,96,11.0,84,20.1
2020-02-19,46.0,30.9,0.0,39,14.4,61,28.9
2020-02-20,37.6,26.1,0.0,74,11.8,53,24.8
2020-02-21,35.2,20.3,0.0,0,11.4,46,21.5
