time,station,t850,dpd850,t700,t500,z500s
2020-01-01 12:00:00+00:00,KOKX,-8.0,4.6,-9.3,-24.8,5352.0
2020-01-02 12:00:00+00:00,KOKX,1.3,24.1,-6.7,-20.9,5512.0
2020-01-03 12:00:00+00:00,KOKX,6.8,0.5,-0.9,-12.1,5629.0
2020-01-04 12:00:00+00:00,KOKX,7.2,0.0,-1.3,-11.4,5608.0
2020-01-05 12:00:00+00:00,KOKX,-8.7,1.1000000000000014,-12.5,-33.1,5296.0
2020-01-06 12:00:00+00:00,KOKX,-6.5,0.09999999999999964,-11.3,-27.8,5391.0
2020-01-07 12:00:00+00:00,KOKX,-1.4,34.300000000000004,-9.6,-25.5,5471.0
2020-01-08 12:00:00+00:00,KOKX,-6.6,3.5999999999999996,-17.8,-36.7,5299.0
2020-01-09 12:00:00+00:00,KOKX,-9.5,23.1,-7.3,-23.4,5573.0
2020-01-10 12:00:00+00:00,KOKX,4.3,14.3,-2.0,-19.7,5750.0
2020-01-11 12:00:00+00:00,KOKX,7.1,3.4999999999999996,3.7,-14.7,5805.0
2020-01-12 12:00:00+00:00,KOKX,11.4,0.7000000000000011,3.9,-11.9,5734.0
2020-01-13 12:00:00+00:00,KOKX,4.7,6.2,3.2,-16.2,5783.0
2020-01-14 12:00:00+00:00,KOKX,5.2,33.300000000000004,1.0,-16.8,5726.0
2020-01-15 12:00:00+00:00,KOKX,0.6,11.9,0.6,-19.0,5646.0
2020-01-16 12:00:00+00:00,KOKX,3.6,1.9000000000000001,-6.6,-20.6,5536.0
2020-01-17 12:00:00+00:00,KOKX,-11.9,10.499999999999998,-18.8,-36.2,5363.0
2020-01-18 12:00:00+00:00,KOKX,-7.0,31.200000000000003,-5.5,-20.7,5608.0
2020-01-19 12:00:00+00:00,KOKX,-1.1,11.0,-8.5,-20.0,5441.0
2020-01-20 12:00:00+00:00,KOKX,-13.0,4.5,-14.1,-25.7,5383.0
2020-01-21 12:00:00+00:00,KOKX,-7.2,30.500000000000004,-11.2,-29.6,5487.0
2020-01-22 12:00:00+00:00,KOKX,-2.9,13.799999999999999,-8.4,-24.0,5578.0
2020-01-23 12:00:00+00:00,KOKX,2.4,18.2,-2.2,-20.2,5685.0
2020-01-24 12:00:00+00:00,KOKX,2.9,24.299999999999997,-4.3,-21.3,5657.0
2020-01-25 12:00:00+00:00,KOKX,4.4,16.0,-2.8,-18.9,5634.0
2020-01-26 12:00:00+00:00,KOKX,-2.0,6.1,-6.7,-23.9,5448.0
2020-01-27 12:00:00+00:00,KOKX,-6.0,1.5999999999999996,-10.3,-24.5,5371.0
2020-01-28 12:00:00+00:00,KOKX,-7.6,2.200000000000001,-7.5,-27.2,5380.0
2020-01-29 12:00:00+00:00,KOKX,-12.5,0.3000000000000007,-12.6,-32.0,5365.0
2020-01-30 12:00:00+00:00,KOKX,-4.6,24.4,-10.2,-26.4,5491.0
2020-01-31 12:00:00+00:00,KOKX,-2.8,34.2,-9.3,-23.4,5563.0
2020-02-01 12:00:00+00:00,KOKX,-0.8,5.0,-7.6,-22.2,5529.0
2020-02-02 12:00:00+00:00,KOKX,-6.6,1.3000000000000007,-13.7,-33.4,5262.0
2020-02-03 12:00:00+00:00,KOKX,-4.1,2.1000000000000005,-5.4,-18.0,5448.0
2020-02-04 12:00:00+00:00,KOKX,7.6,9.4,-2.1,-13.1,5614.0
2020-02-05 12:00:00+00:00,KOKX,5.3,0.20000000000000018,-2.7,-16.5,5594.0
2020-02-06 12:00:00+00:00,KOKX,7.7,0.10000000000000053,0.3,-13.9,5608.0
2020-02-07 12:00:00+00:00,KOKX,9.6,2.8,2.5,-14.1,5482.0
2020-02-08 12:00:00+00:00,KOKX,-10.2,13.3,-17.7,-31.9,5310.0
2020-02-09 12:00:00+00:00,KOKX,-9.3,2.3999999999999986,-19.2,-32.2,5453.0
2020-02-10 12:00:00+00:00,KOKX,-2.9,2.1,-5.0,-19.6,5623.0
2020-02-11 12:00:00+00:00,KOKX,5.7,0.0,-1.3,-17.1,5642.0
2020-02-12 12:00:00+00:00,KOKX,-8.8,2.5,-7.9,-21.0,5528.0
2020-02-13 12:00:00+00:00,KOKX,9.0,1.9000000000000004,0.5,-14.1,5610.0
2020-02-14 12:00:00+00:00,KOKX,-8.8,2.5,-14.4,-19.8,5459.0
2020-02-15 12:00:00+00:00,KOKX,-10.8,30.2,-10.6,-20.4,5585.0
2020-02-16 12:00:00+00:00,KOKX,-1.9,25.3,-4.9,-21.4,5583.0
2020-02-17 12:00:00+00:00,KOKX,-2.0,27.8,-12.5,-25.1,5507.0
2020-02-18 12:00:00+00:00,KOKX,-0.9,18.900000000000002,-7.8,-20.5,5622.0
2020-02-19 12:00:00+00:00,KOKX,-1.7,33.5,-4.4,-18.7,5580.0
2020-02-20 12:00:00+00:00,KOKX,-10.3,15.0,-14.9,-26.3,5467.0
2020-02-21 12:00:00+00:00,KOKX,-12.9,18.700000000000003,-18.5,-31.2,5391.0
2020-02-22 12:00:00+00:00,KOKX,-1.3,33.5,-7.8,-25.4,5555.0
2020-02-23 12:00:00+00:00,KOKX,1.7,23.5,-6.3,-22.3,5597.0
2020-02-24 12:00:00+00:00,KOKX,1.7,18.4,-3.2,-20.1,5591.0
2020-02-25 12:00:00+00:00,KOKX,2.0,7.8,-1.9,-17.4,5574.0
2020-02-26 12:00:00+00:00,KOKX,1.7,0.0,-0.6,-20.6,5576.0
2020-02-27 12:00:00+00:00,KOKX,5.6,3.0999999999999996,-2.3,-19.1,5420.0
2020-02-28 12:00:00+00:00,KOKX,-13.3,5.099999999999998,-16.4,-28.5,5295.0
2020-02-29 12:00:00+00:00,KOKX,-12.0,9.0,-21.1,-31.9,5233.0
2020-03-01 12:00:00+00:00,KOKX,-13.7,9.5,-20.7,-29.5,5313.0
2020-03-02 12:00:00+00:00,KOKX,0.1,15.2,-8.2,-24.2,5544.0
2020-03-03 12:00:00+00:00,KOKX,3.8,2.8,-4.5,-21.9,5531.0
2020-03-04 12:00:00+00:00,KOKX,-3.6,2.6999999999999997,-12.2,-18.0,5396.0
2020-03-05 12:00:00+00:00,KOKX,-4.0,17.7,-10.2,-21.2,5484.0
2020-03-06 12:00:00+00:00,KOKX,-1.2,26.8,-6.6,-23.2,5500.0
2020-03-07 12:00:00+00:00,KOKX,-8.1,3.5,-14.5,-29.0,5371.0
2020-03-08 12:00:00+00:00,KOKX,-1.8,41.300000000000004,-9.5,-23.9,5602.0
2020-03-09 12:00:00+00:00,KOKX,6.4,20.4,-3.8,-21.4,5706.0
2020-03-10 12:00:00+00:00,KOKX,9.1,26.4,-2.9,-17.7,5691.0
2020-03-11 12:00:00+00:00,KOKX,5.6,24.799999999999997,-2.4,-21.7,5618.0
2020-03-12 12:00:00+00:00,KOKX,-0.2,3.0,-6.1,-19.9,5593.0
2020-03-13 12:00:00+00:00,KOKX,8.3,2.700000000000001,-3.8,-16.0,5644.0
2020-03-14 12:00:00+00:00,KOKX,-5.2,11.7,2.4,-16.8,5676.0
2020-03-15 12:00:00+00:00,KOKX,-6.0,7.199999999999999,-10.0,-20.6,5587.0
2020-03-16 12:00:00+00:00,KOKX,-7.7,11.100000000000001,-8.9,-23.0,5621.0
2020-03-17 12:00:00+00:00,KOKX,1.2,0.29999999999999993,-5.4,-20.0,5630.0
2020-03-18 12:00:00+00:00,KOKX,2.7,51.400000000000006,-3.0,-19.3,5677.0
2020-03-19 12:00:00+00:00,KOKX,7.1,0.1999999999999993,-1.3,-16.3,5721.0
2020-03-20 12:00:00+00:00,KOKX,13.7,3.6999999999999993,2.6,-12.9,5768.0
2020-03-21 12:00:00+00:00,KOKX,4.1,13.1,-1.4,-15.1,5657.0
2020-03-22 12:00:00+00:00,KOKX,-8.2,0.3000000000000007,-7.6,-21.6,5603.0
2020-03-23 12:00:00+00:00,KOKX,-5.9,1.5,-5.3,-19.6,5666.0
2020-03-24 12:00:00+00:00,KOKX,1.3,3.9000000000000004,-4.9,-18.9,5581.0
2020-03-25 12:00:00+00:00,KOKX,-0.6,10.3,-7.3,-18.0,5581.0
2020-03-26 12:00:00+00:00,KOKX,0.4,8.9,-4.5,-22.2,5558.0
2020-03-27 12:00:00+00:00,KOKX,4.9,3.3000000000000003,-5.1,-22.1,5528.0
2020-03-28 12:00:00+00:00,KOKX,3.7,13.3,-2.2,-14.7,5666.0
2020-03-29 12:00:00+00:00,KOKX,,,3.4,-13.2,5745.0
2020-03-30 12:00:00+00:00,KOKX,6.0,7.7,-2.5,-18.8,5598.0
2020-03-31 12:00:00+00:00,KOKX,-3.0,0.20000000000000018,-9.5,-23.9,5492.0
2020-04-01 12:00:00+00:00,KOKX,-2.3,42.0,-8.0,-22.4,5438.0
2020-04-02 12:00:00+00:00,KOKX,-0.7,5.3999999999999995,-5.9,-21.4,5434.0
2020-04-03 12:00:00+00:00,KOKX,0.5,0.2,-2.1,-19.1,5465.0
2020-04-04 12:00:00+00:00,KOKX,4.0,1.4,-4.9,-19.1,5550.0
2020-04-05 12:00:00+00:00,KOKX,2.6,0.3999999999999999,-4.5,-18.3,5611.0
2020-04-06 12:00:00+00:00,KOKX,3.4,0.10000000000000009,-5.4,-22.0,5576.0
2020-04-07 12:00:00+00:00,KOKX,0.0,5.8,-9.0,-21.4,5527.0
2020-04-08 12:00:00+00:00,KOKX,6.4,2.1000000000000005,-2.9,-17.0,5500.0
2020-04-09 12:00:00+00:00,KOKX,4.5,0.09999999999999964,-3.5,-19.9,5484.0
2020-04-10 12:00:00+00:00,KOKX,-6.2,4.6000000000000005,-16.2,-35.2,5170.0
2020-04-11 12:00:00+00:00,KOKX,-6.8,6.3,-13.7,-25.3,5384.0
2020-04-12 12:00:00+00:00,KOKX,-1.1,7.700000000000001,-5.5,-22.0,5592.0
2020-04-13 12:00:00+00:00,KOKX,7.3,4.1,1.6,-12.4,5701.0
2020-04-14 12:00:00+00:00,KOKX,7.3,50.099999999999994,-1.6,-18.3,5624.0
2020-04-15 12:00:00+00:00,KOKX,-5.0,1.5,-9.1,-20.7,5496.0
2020-04-16 12:00:00+00:00,KOKX,-4.1,8.1,-15.6,-29.2,5399.0
2020-04-17 12:00:00+00:00,KOKX,-9.0,12.100000000000001,-15.2,-27.5,5458.0
2020-04-18 12:00:00+00:00,KOKX,2.3,3.1999999999999997,-7.2,-21.1,5485.0
2020-04-19 12:00:00+00:00,KOKX,-2.8,5.500000000000001,-6.9,-19.8,5514.0
