iter	RMSE
0	16.81834076
1	16.18077544
2	15.57401564
3	14.99642715
4	14.46444775
5	13.95517623
6	13.46553545
7	12.99479482
8	12.56682426
9	12.15398942
10	11.79075958
11	11.40063257
12	11.05792277
13	10.71630922
14	10.41216755
15	10.10862792
16	9.840035117
17	9.570237671
18	9.317899364
19	9.095569376
20	8.877643232
21	8.676336704
22	8.471580227
23	8.286694823
24	8.117053516
25	7.956903738
26	7.80969236
27	7.674481755
28	7.531606103
29	7.399142569
30	7.274813996
31	7.166309573
32	7.062180664
33	6.967403567
34	6.872637594
35	6.775868035
36	6.693213035
37	6.611445753
38	6.530202266
39	6.463179431
40	6.40676028
41	6.347565959
42	6.296146058
43	6.238362522
44	6.183797869
45	6.129860619
46	6.0818729
47	6.033801355
48	5.992748528
49	5.950761224
50	5.910458484
51	5.874831207
52	5.840261898
53	5.809519931
54	5.778580028
55	5.749831174
56	5.724204519
57	5.693196749
58	5.665498763
59	5.639461835
60	5.619198069
61	5.595773565
62	5.576266398
63	5.558629756
64	5.537359299
65	5.518436764
66	5.496501884
67	5.47182925
68	5.455139737
69	5.438134697
70	5.419114932
71	5.402782989
72	5.388055483
73	5.368418857
74	5.354396479
75	5.342745669
76	5.329182828
77	5.317883579
78	5.300322105
79	5.284822293
80	5.272533105
81	5.259101127
82	5.249011884
83	5.239242702
84	5.227722998
85	5.21887612
86	5.207301511
87	5.197216177
88	5.190406515
89	5.180831719
90	5.168553355
91	5.155366115
92	5.14608029
93	5.135674002
94	5.125792513
95	5.111245974
96	5.100268483
97	5.088612387
98	5.077239767
99	5.066777252
100	5.057854258
101	5.049167704
102	5.041406864
103	5.028915247
104	5.021833513
105	5.015368883
106	5.005671158
107	4.994599515
108	4.984367352
109	4.977894917
110	4.968174894
111	4.961236923
112	4.949535161
113	4.941486076
114	4.935753825
115	4.929731367
116	4.918146593
117	4.909549258
118	4.902793041
119	4.896304403
120	4.891093172
121	4.878105476
122	4.867036457
123	4.857673809
124	4.851774356
125	4.845247816
126	4.839188436
127	4.830308348
128	4.823174294
129	4.810565202
130	4.799624582
131	4.788833933
132	4.780561862
133	4.774078574
134	4.764262786
135	4.754813236
136	4.749926814
137	4.74102416
138	4.729677634
139	4.724180039
140	4.714618171
141	4.704493798
142	4.696499351
143	4.689676793
144	4.685675261
145	4.679426138
146	4.673923873
147	4.661515458
148	4.654116106
149	4.644400369
150	4.638934361
151	4.633103557
152	4.626092783
153	4.618261032
154	4.616159074
155	4.603894172
156	4.598789496
157	4.592097688
158	4.585055197
159	4.579003951
160	4.57096272
161	4.559386564
162	4.552187971
163	4.543152549
164	4.531689794
165	4.526135751
166	4.521908877
167	4.515135173
168	4.506139553
169	4.50042546
170	4.491079357
171	4.485545892
172	4.474592993
173	4.46595161
174	4.460962036
175	4.457114329
176	4.448168184
177	4.437730946
178	4.431286269
179	4.426936254
180	4.416500118
181	4.40717497
182	4.395884249
183	4.387327912
184	4.382420104
185	4.377467867
186	4.372372729
187	4.364954201
188	4.356712539
189	4.352319444
190	4.34503715
191	4.339129772
192	4.33356767
193	4.324248324
194	4.319779981
195	4.311585668
196	4.301104213
197	4.294493827
198	4.285453279
199	4.276134016
200	4.272603469
201	4.265811822
202	4.257749665
203	4.25410367
204	4.245321815
205	4.240419626
206	4.235220951
207	4.225678186
208	4.217368663
209	4.209063229
210	4.204343133
211	4.196953106
212	4.193584002
213	4.190171548
214	4.185130414
215	4.179635988
216	4.172602333
217	4.167238219
218	4.159606473
219	4.152637366
220	4.149568398
221	4.140807061
222	4.130053305
223	4.118351286
224	4.107002818
225	4.101367112
