feature,importance
prem_bps,229
prem_chg,92
oc_pct,65
m_cvd,63
m_range,59
vol_chg_96,59
sma_8_24_ratio,56
cvd_sum8,56
x_sol_relstr,55
m_volspike,54
upper_wick,52
ret_1,50
x_eth_relstr,47
bb_width,47
x_eth_ret4,46
m_vol,45
vol_chg_24,45
x_eth_ret1,44
m_late_early,43
x_eth_vold,43
x_eth_path15,43
idio_div,43
vol_std_96,43
x_xrp_dist8,41
x_eth_lead5,41
ret_12,41
x_sol_dist8,40
stoch_d,40
x_xrp_ret4,40
x_eth_dist8,39
x_xrp_vold,37
ema_96,35
cvd_sum4,35
mkt_mom,35
sma_96,35
m_buyratio,34
m_volsum,34
stoch_k,34
vol_chg_8,34
cvd_ratio,34
hl_pct,33
x_xrp_relstr,33
trade_vel,33
ret_96,33
vol_ratio_96,31
x_sol_lead5,31
vol_std_8,31
x_sol_path15,30
macd_hist,30
ret_24,30
range_pct_24,30
range_pct_96,30
x_sol_ret4,29
x_sol_vold,29
m_ema921,29
vol_std_24,29
lower_wick,28
range_pct_8,28
quarter_hour,27
ret_4,27
dollar_vol,27
hour_cos,26
macd_sig,26
x_sol_ret1,26
m_path,25
ret_8,25
m_wick,24
ret_48,24
dist_sma_12,23
mom_24,23
sma_4,23
hour,23
vol_ratio_8,22
ema_12_26_ratio,22
dollar_vol_ratio_8,21
x_xrp_ret1,21
x_xrp_lead5,20
logret_1,20
hour_sin,20
dist_ema_96,20
atr_14,20
x_xrp_path15,19
dist_sma_4,19
dist_ema_24,19
rsi_14,19
roc_24,18
ema_4,17
dist_sma_8,17
buyer_ratio,17
ema_48,17
mom_96,16
dist_sma_96,16
rsi_7,16
ret_2,16
vol_ratio_24,16
dist_sma_48,15
ema_8,15
mom_4,15
rsi_28,14
dist_sma_24,14
sma_12,13
macd,13
ret_3,13
dist_ema_8,12
dist_ema_12,12
m_upfrac,12
dow_sin,12
sma_48,11
sma_8,11
ema_12,10
sma_24,10
dist_ema_4,10
mom_8,10
dollar_vol_ratio_24,10
roc_96,9
dist_ema_48,9
roc_4,7
bb_upper,7
dow_cos,7
bb_pos,6
roc_8,4
dow,4
ema_24,3
overnight_us,3
is_weekend,1
x_eth_mknown,0
of_known,0
prem_known,0
spread_z,0
fund_spread,0
bb_z,0
bb_rate,0
venue_known,0
fund_z,0
fund_rate,0
fund_known,0
x_xrp_mknown,0
x_sol_mknown,0
pca_known,0
