feature,importance
x_btc_ret1,104
hl_pct,62
x_sol_dist8,58
x_btc_ret4,56
idio_div,53
vol_chg_8,53
x_xrp_vold,51
m_cvd,51
ret_1,49
oc_pct,48
x_btc_dist8,46
vol_std_96,44
range_pct_96,40
x_btc_relstr,39
ret_3,39
vol_chg_24,38
x_sol_vold,37
x_xrp_relstr,37
x_xrp_dist8,37
m_volsum,37
stoch_k,36
x_sol_relstr,36
dist_ema_4,35
vol_ratio_8,35
range_pct_24,35
x_sol_ret1,35
mkt_mom,35
m_vol,34
vol_chg_96,34
range_pct_8,33
vol_std_24,33
m_volspike,33
ret_24,33
x_sol_ret4,33
hour,32
lower_wick,32
x_btc_path15,32
m_late_early,32
x_sol_path15,32
x_xrp_lead5,32
vol_std_8,31
ret_2,31
vol_ratio_96,30
x_xrp_ret4,30
dist_ema_8,30
dist_sma_4,28
atr_14,27
dist_sma_8,27
quarter_hour,27
x_xrp_ret1,26
upper_wick,26
m_path,26
bb_width,26
hour_cos,25
hour_sin,25
m_ema921,25
trade_vel,25
bb_upper,25
macd_sig,24
x_btc_vold,24
rsi_14,24
x_sol_lead5,24
sma_8_24_ratio,24
x_xrp_path15,24
ret_48,23
rsi_28,21
dist_sma_96,21
m_range,20
dollar_vol_ratio_8,20
x_btc_lead5,20
mom_96,19
ret_12,19
ret_8,19
vol_ratio_24,18
ret_4,18
dist_sma_48,18
ret_96,17
dist_ema_24,17
m_buyratio,16
dist_ema_96,16
dollar_vol,16
dist_sma_12,16
mom_8,16
rsi_7,16
sma_48,15
dist_ema_48,15
dollar_vol_ratio_24,15
macd_hist,15
ema_12_26_ratio,14
sma_4,14
stoch_d,14
sma_12,14
bb_pos,14
mom_24,14
m_wick,14
ema_12,12
dist_ema_12,11
roc_96,11
ema_96,11
ema_48,11
macd,11
mom_4,11
logret_1,11
sma_24,10
dist_sma_24,10
sma_96,10
roc_24,10
roc_4,9
ema_24,9
m_upfrac,8
ema_4,8
dow_cos,8
ema_8,7
roc_8,5
dow,5
sma_8,5
dow_sin,3
overnight_us,2
spread_z,0
is_weekend,0
buyer_ratio,0
cvd_sum8,0
cvd_sum4,0
cvd_ratio,0
of_known,0
bb_z,0
fund_spread,0
bb_rate,0
venue_known,0
fund_z,0
fund_rate,0
fund_known,0
x_xrp_mknown,0
x_sol_mknown,0
x_btc_mknown,0
pca_known,0
