feature,importance
vol_chg_96,187
vol_std_96,182
range_pct_8,167
vol_std_8,148
hl_pct,145
vol_chg_24,137
stoch_d,133
vol_std_24,126
upper_wick,121
bb_width,120
range_pct_96,118
vol_chg_8,116
dollar_vol,115
ret_2,114
atr_14,102
range_pct_24,92
hour_sin,92
oc_pct,91
sma_8_24_ratio,91
ret_1,89
vol_ratio_8,85
hour,84
ret_48,79
macd_hist,77
lower_wick,77
stoch_k,76
ret_12,70
ret_4,69
ret_8,64
sma_96,63
vol_ratio_24,62
macd_sig,62
mom_96,61
ret_96,60
vol_ratio_96,60
dist_ema_96,58
dist_ema_4,53
rsi_28,51
dist_sma_4,51
macd,48
ret_3,46
mom_4,45
dist_sma_96,43
sma_4,42
dollar_vol_ratio_8,41
ret_24,41
ema_96,41
mom_24,40
sma_24,40
hour_cos,39
mom_8,39
rsi_14,38
bb_upper,38
dist_sma_24,37
dist_sma_8,37
quarter_hour,35
rsi_7,32
ema_48,32
sma_48,32
dist_sma_48,31
sma_8,29
dist_sma_12,28
dollar_vol_ratio_24,27
dow,25
dist_ema_12,24
dow_sin,24
dist_ema_8,23
dist_ema_48,21
sma_12,20
bb_pos,19
ema_24,18
ema_8,17
ema_4,17
ema_12_26_ratio,17
roc_96,16
dist_ema_24,14
ema_12,13
roc_4,10
logret_1,9
dow_cos,9
roc_8,8
roc_24,6
overnight_us,1
is_weekend,0
