feature,importance
x_btc_ret1,55
x_eth_ret1,46
oc_pct,43
x_xrp_relstr,42
x_btc_ret4,42
x_eth_relstr,42
x_eth_vold,41
range_pct_24,40
idio_div,36
vol_chg_96,36
hl_pct,34
bb_width,33
ret_1,33
vol_std_96,30
x_btc_dist8,29
m_vol,27
vol_chg_8,27
x_btc_path15,26
macd_sig,25
mkt_mom,25
atr_14,25
trade_vel,25
x_eth_lead5,23
ret_24,23
range_pct_96,22
vol_std_24,22
x_xrp_dist8,22
vol_chg_24,22
x_xrp_ret4,22
sma_8_24_ratio,22
x_xrp_ret1,22
m_buyratio,21
m_volspike,21
vol_ratio_24,21
stoch_d,21
ret_3,21
x_eth_path15,20
rsi_28,20
m_volsum,20
dist_ema_4,20
x_btc_vold,19
x_btc_lead5,19
vol_ratio_8,19
x_btc_relstr,19
x_xrp_path15,19
range_pct_8,18
quarter_hour,18
x_eth_ret4,17
hour,17
dollar_vol_ratio_24,17
lower_wick,17
mom_8,17
stoch_k,17
logret_1,17
m_range,17
x_xrp_lead5,17
vol_std_8,17
x_eth_dist8,16
dist_ema_48,16
mom_24,16
ret_8,16
macd_hist,16
dist_sma_96,16
m_late_early,16
dist_sma_24,16
dist_sma_48,15
mom_96,15
dist_ema_12,15
m_path,15
dist_sma_12,14
x_xrp_vold,14
dollar_vol,14
macd,14
ret_12,13
vol_ratio_96,13
dollar_vol_ratio_8,13
ret_4,12
m_cvd,12
roc_24,12
dow,12
m_ema921,12
ema_12_26_ratio,12
m_wick,12
sma_24,11
roc_96,10
dist_sma_8,10
ret_96,10
dist_sma_4,9
mom_4,9
rsi_7,9
dist_ema_8,8
sma_48,8
ema_4,8
dist_ema_96,8
roc_8,7
ema_48,7
hour_sin,7
ret_2,7
ema_96,7
dow_sin,7
hour_cos,7
bb_pos,7
ret_48,6
dist_ema_24,6
bb_upper,6
rsi_14,5
ema_8,4
roc_4,4
sma_12,4
ema_24,4
sma_96,3
ema_12,3
is_weekend,2
m_upfrac,2
dow_cos,2
upper_wick,2
sma_4,1
sma_8,1
cvd_ratio,0
buyer_ratio,0
cvd_sum8,0
cvd_sum4,0
overnight_us,0
of_known,0
fund_z,0
fund_rate,0
fund_known,0
x_xrp_mknown,0
x_eth_mknown,0
x_btc_mknown,0
pca_known,0
