feature,importance
x_btc_ret1,18
idio_div,14
range_pct_8,11
range_pct_24,10
mkt_mom,10
x_eth_ret1,8
vol_std_8,6
m_volsum,5
x_eth_vold,4
x_sol_path15,4
x_btc_relstr,4
vol_std_96,4
x_btc_ret4,4
ema_48,4
mom_8,3
atr_14,3
x_sol_ret1,3
vol_chg_8,3
dollar_vol,3
dollar_vol_ratio_8,3
x_eth_path15,3
dist_ema_96,3
ret_24,3
hour_sin,3
ret_1,3
x_btc_path15,3
oc_pct,3
hl_pct,3
mom_96,3
x_eth_relstr,2
ema_12_26_ratio,2
stoch_k,2
bb_width,2
m_buyratio,2
vol_ratio_24,2
x_sol_vold,2
x_eth_lead5,2
vol_chg_24,2
dist_sma_4,2
ret_8,2
logret_1,2
trade_vel,2
x_btc_dist8,2
x_eth_dist8,2
sma_4,2
m_vol,2
sma_8,2
x_btc_vold,1
quarter_hour,1
ret_2,1
x_btc_lead5,1
dow,1
macd_hist,1
m_late_early,1
m_range,1
m_volspike,1
x_eth_ret4,1
bb_upper,1
hour,1
vol_std_24,1
macd_sig,1
dist_sma_24,1
ret_12,1
ret_48,1
ret_96,1
mom_24,1
roc_24,1
ema_4,1
dist_ema_4,1
ema_8,1
ema_12,1
rsi_28,1
m_cvd,1
x_sol_relstr,1
lower_wick,1
sma_48,1
range_pct_96,1
dist_ema_48,1
ema_96,1
cvd_sum4,0
x_sol_ret4,0
x_sol_dist8,0
buyer_ratio,0
cvd_sum8,0
x_eth_mknown,0
x_sol_mknown,0
x_sol_lead5,0
cvd_ratio,0
of_known,0
fund_z,0
x_btc_mknown,0
fund_known,0
fund_rate,0
stoch_d,0
m_wick,0
dist_sma_96,0
dist_sma_48,0
dist_ema_24,0
ema_24,0
sma_24,0
dist_ema_12,0
dist_sma_12,0
sma_12,0
dist_ema_8,0
dist_sma_8,0
roc_96,0
roc_8,0
roc_4,0
mom_4,0
ret_4,0
ret_3,0
sma_96,0
sma_8_24_ratio,0
m_ema921,0
upper_wick,0
m_upfrac,0
m_path,0
overnight_us,0
dow_cos,0
dow_sin,0
hour_cos,0
is_weekend,0
dollar_vol_ratio_24,0
vol_chg_96,0
vol_ratio_96,0
vol_ratio_8,0
bb_pos,0
macd,0
rsi_14,0
rsi_7,0
pca_known,0
